관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
47190-00127,백현체육공원,체육공원,,경상북도 구미시 산동면 백현리 79,36.18642933,128.4784907,90967,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00128,둘모아공원,어린이공원,,경상북도 구미시 봉곡동 584-2,36.148431,128.3165939,4279,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00129,다붓소공원,소공원,,경상북도 구미시 봉곡동 765 일원,36.155883,128.311526,805,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00130,다붓1공원,어린이공원,,경상북도 구미시 봉곡동 457-1,36.156392,128.314372,1585,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00131,다붓2공원,어린이공원,,경상북도 구미시 봉곡동 767,36.15480813,128.314372,1637,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00132,공원,소공원,,경상북도 구미시 광평동 77-21,36.10887845,128.3643983,466,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00133,산림문화생태근린공원,근린공원,경상북도 구미시 인덕1길 240,경상북도 구미시 산동면 인덕리 산 5-1,36.16509915,128.4604655,1059228,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00134,지산샛강생태공원,수변공원,,경상북도 구미시 지산동 847-72,36.13575859,128.3518755,214265,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00135,도담공원,근린공원,,경상북도 구미시 옥계동 1308,36.14107104,128.4230508,31553,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00136,선비공원,근린공원,,경상북도 구미시 산동면 신당리 1693,36.156353,128.435169,40107.7,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00137,무지개공원,어린이공원,,경상북도 구미시 산동면 신당리 1641,36.156482,128.438079,2260,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00138,달빛공원,어린이공원,,경상북도 구미시 옥계동 1236,36.14280245,128.4229606,1682.8,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00139,솔찬공원,어린이공원,,경상북도 구미시 옥계동 1085,36.14471543,128.4207217,1804.4,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00140,근린공원38호,근린공원,,경상북도 구미시 고아읍 문성리 1775번지,36.15358372,128.3489419,9788.6,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00141,서울나들공원,근린공원,,경상북도 구미시 산동면 신당리 산81-1번지,36.15664981,128.426117,15124,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00142,산동물빛공원,근린공원,,경상북도 구미시 산동면 신당리 1723번지,36.15918786,128.4303439,36106,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00143,원당공원,근린공원,,경상북도 구미시 산동면 신당리 2021번지,36.14742092,128.425286,41643,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00144,우항공원,근린공원,,경상북도 구미시 산동면 신당리 2017,36.15302879,128.4314654,65794,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00145,이리공원,소공원,,경상북도 구미시 고아읍 이례리 442번지,36.20777827,128.3254036,194,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00146,공원,소공원,,경상북도 구미시 도량동 874번지,36.14191033,128.3317618,2653.6,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00147,공원,소공원,,경상북도 구미시 도량동 872번지,36.14402391,128.330306,1126.5,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00148,공원,소공원,,경상북도 구미시 공단동 282-90번지,36.09893683,128.3669961,1644,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00149,공원,소공원,,경상북도 구미시 진평동 644-7번지,36.09987629,128.4135851,992,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00150,소소공원,소공원,,경상북도 구미시 공단동 297-25번지,36.08902643,128.3902075,1223,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00151,화개공원,근린공원,,경상북도 구미시 고아읍 이례리 산6번지 일원,36.20952278,128.3237011,13063,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00152,양지공원,근린공원,,경상북도 구미시 신평동 6-38번지 일원,36.12561583,128.3589071,56148,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00153,꽃동산공원,근린공원,,경상북도 구미시 도량동 산25번지 일원,36.13990856,128.3287298,750000,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00154,중앙공원,근린공원,,경상북도 구미시 광평동 산57번지 일원,36.11214048,128.3452314,266534,,,,,,,,,2022-06-09,5080000,경상북도 구미시
47190-00155,오태공원,근린공원,,경상북도 구미시 임은동 산7번지 일원,36.08321216,128.3652958,318154.6,,,,,,,,,2022-06-09,5080000,경상북도 구미시
31200-12505,통새미공원,어린이공원,,울산광역시 북구 화봉동 649,35.59087332,129.3604763,1554,체육시설(4),조합놀이대(모래)(2),파고라(1)+등의자(4),,CCTV(3),1997-07-15,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-12506,송내공원,어린이공원,,울산광역시 북구 화봉동 424-1,35.59232858,129.3625324,4218,족구장(1),조합놀이대(모래)(1)+시소(2),화장실(1)+파고라(1)+등의자(2)+평의자(2),,CCTV(2),1997-07-15,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
