stationId,stationName,stationLongitude,stationLatitude,parkingQRBikeCnt,parkingELECBikeCnt,total,goo,dong
ST-4,102. 망원역 1번출구 앞,126.9106293,37.5556488,23,9,32,마포구,서교동
ST-5,103. 망원역 2번출구 앞,126.9108353,37.55495071,25,1,26,마포구,망원1동
ST-6,104. 합정역 1번출구 앞,126.9149857,37.55062866,11,0,11,마포구,서교동
ST-7,105. 합정역 5번출구 앞,126.9148254,37.55000687,3,0,3,마포구,서교동
ST-8,106. 합정역 7번출구 앞,126.9128265,37.54864502,11,0,11,마포구,합정동
ST-9,107. 신한은행 서교동지점,126.9185028,37.55751038,5,1,6,마포구,서교동
ST-10,108. 서교동 사거리,126.9186173,37.55274582,8,2,10,마포구,서교동
ST-11,109. 제일빌딩 앞,126.9199829,37.54769135,13,0,13,마포구,서강동
ST-15,111. 상수역 2번출구 앞,126.9235306,37.54787064,3,0,3,마포구,서강동
ST-16,112. 극동방송국 앞,126.9232025,37.54920197,1,0,1,마포구,서강동
ST-18,113. 홍대입구역 2번출구 앞,126.9238205,37.5574379,36,3,39,마포구,서교동
ST-20,114. 홍대입구역 8번출구 앞,126.9244232,37.55706024,41,0,41,마포구,서교동
ST-12,115. 마스타 빌딩 앞,126.9271164,37.55893326,8,3,11,서대문구,신촌동
ST-17,117. 홍은사거리,126.94133,37.59115982,5,0,5,서대문구,홍은2동
ST-19,118. 광흥창역 2번출구 앞,126.9317627,37.54773331,4,0,4,마포구,서강동
ST-21,119. 서강나루 공원,126.9310532,37.54528427,9,3,12,마포구,신수동
ST-22,120. 신수동 사거리,126.9341126,37.54524231,5,0,5,마포구,신수동
ST-23,121. 마포소방서 앞,126.9331741,37.54976654,6,1,7,마포구,신수동
ST-24,122. 신성기사식당 앞,126.9383774,37.54745865,2,0,2,마포구,신수동
ST-25,123. 문화촌 공원,126.9473877,37.59432983,11,0,11,서대문구,홍제3동
ST-26,124. 서강대 정문 건너편,126.9369888,37.55113983,14,6,20,마포구,대흥동
ST-27,125. 서강대 남문 옆,126.9389496,37.54948425,10,8,18,마포구,대흥동
ST-28,126. 서강대 후문 옆,126.9438477,37.55041122,3,0,3,마포구,대흥동
ST-29,127. 현대벤처빌 앞,126.9369507,37.5535202,0,0,0,마포구,대흥동
ST-30,128. 신촌역(2호선) 1번출구 옆,126.9363403,37.55549622,1,0,1,서대문구,신촌동
ST-31,129. 신촌역(2호선) 6번출구 옆,126.9375687,37.55505371,14,5,19,마포구,대흥동
ST-32,130. 신촌역(2호선) 7번출구 앞,126.9361572,37.55485916,13,0,13,마포구,서교동
ST-33,131. 증산2교,126.9111023,37.5841713,17,1,18,은평구,응암3동
ST-35,133. 해담는다리,126.9089966,37.58203125,13,0,13,서대문구,북가좌2동
ST-36,134. 연세로 명물길,126.9380798,37.55789185,1,0,1,서대문구,신촌동
ST-37,135. 명물길 원형무대 앞,126.9398422,37.55922699,1,0,1,서대문구,신촌동
ST-39,137. 신촌기차역입구 교차로,126.9431839,37.55681229,1,0,1,서대문구,신촌동
ST-40,138. 신촌동 제1공영주차장 앞,126.9345245,37.5591774,2,0,2,서대문구,신촌동
ST-43,139. 연세대 정문 건너편,126.9344177,37.55986404,16,0,16,서대문구,신촌동
ST-41,140. 이화여대 후문,126.9407349,37.560009,15,2,17,서대문구,신촌동
