"동별(1)"	동별(2)	동별(3)	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4
"동별(1)"	동별(2)	동별(3)	세대 (세대)	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
"동별(1)"	동별(2)	동별(3)	소계	남자	여자	소계	남자	여자	소계	남자	여자	소계	소계
"합계"	소계	소계	4405833	4840912	5112097	9699232	4719170	4980062	253777	121742	132035	2.20	1552356
"합계"	종로구	소계	74861	77391	82451	149952	73024	76928	9890	4367	5523	2.00	28396
"합계"	종로구	사직동	4765	4447	5401	9568	4284	5284	280	163	117	2.01	1849
"합계"	종로구	삼청동	1369	1428	1534	2692	1296	1396	270	132	138	1.97	682
"합계"	종로구	부암동	4348	4935	5412	10008	4760	5248	339	175	164	2.30	1825
"합계"	종로구	평창동	7518	8678	9940	18431	8594	9837	187	84	103	2.45	3363
"합계"	종로구	무악동	3203	4041	4614	8610	4021	4589	45	20	25	2.69	1464
"합계"	종로구	교남동	4594	4952	5708	10506	4876	5630	154	76	78	2.29	1625
"합계"	종로구	가회동	2070	2051	2371	4328	1998	2330	94	53	41	2.09	934
"합계"	종로구	종로1.2.3.4가동	5234	4954	3464	7206	4329	2877	1212	625	587	1.38	2002
"합계"	종로구	종로5.6가동	3459	3160	2649	5350	2904	2446	459	256	203	2.00	1130
"합계"	종로구	이화동	4433	3806	4418	7674	3614	4060	550	192	358	1.73	1407
"합계"	종로구	창신1동	2981	3239	2796	5165	2798	2367	870	441	429	1.73	1252
"합계"	종로구	창신2동	4150	4893	4675	8345	4299	4046	1223	594	629	2.01	1785
"합계"	종로구	창신3동	2907	3495	3629	6939	3392	3547	185	103	82	2.39	1231
"합계"	종로구	숭인1동	3015	3108	3327	6106	2972	3134	329	136	193	2.03	1211
"합계"	종로구	숭인2동	6046	5052	5025	9618	4889	4729	459	163	296	1.59	1689
"합계"	종로구	청운효자동	5376	5939	6769	12479	5815	6664	229	124	105	2	2235
"합계"	종로구	혜화동	9393	9213	10719	16927	8183	8744	3005	1030	1975	1.80	2712
